id,created_at,updated_at,title,severity,component,repro_steps,labels,reasoning,confidence,github_issue_number,duplicate_of,similarity_score,feedback_id,status
0542828e-c340-4680-8dbf-6965eff4a0c9,2026-06-28T15:07:10.972523Z,2026-06-28T15:07:10.972523Z,Header layout broken on mobile devices,P2,ui,"[""Open the application on a mobile device or emulator"", ""Navigate to any page"", ""Observe the header area — it may be misaligned, overlapping, or not displaying correctly""]","[""bug"", ""mobile"", ""ui"", ""header""]","Header layout issue on mobile is a degraded UX with likely a workaround (rotating device or using desktop view), and does not involve payments, auth, or data loss.",0.7,,,,dc060bff-80ff-4e20-b3f5-65eb3d998a9f,triage
1a2b3e06-4f3f-4f04-97a3-6dde67eb41ea,2026-06-28T14:51:15.328601Z,2026-06-28T14:51:15.328601Z,Search bar not at top of page,P2,ui,"[""Navigate to the page"", ""Look at the search bar position"", ""Observe that the search bar is not at the top of the page""]","[""bug"", ""ui"", ""search""]","Degraded UX with a clear workaround (scroll up), not a data-loss or auth/payments issue.",0.85,,,,359e504d-144d-4552-9410-949e41a6a34c,triage
62af77f0-2a0e-4178-b349-76f09cec7e26,2026-06-28T14:45:42.840567Z,2026-06-28T14:45:42.840567Z,Fix screen not loading — blank/loading state on page render,P1,rendering,"[""Navigate to a page in the application"", ""Observe that the screen remains blank and does not load""]","[""bug"", ""rendering"", ""loading""]","Screen not loading is a core UX flow issue — if the main UI fails to render, users cannot use the application at all.",0.6,,,,6798bfa8-ed03-40a4-a3e7-d2255ee24e39,triage
267e67ca-8dba-42fe-9948-be17fddf3502,2026-06-28T14:44:39.780212Z,2026-06-28T14:44:39.780212Z,App not loading or functioning,P2,general,"[""Open the application URL in a browser"", ""Observe that the app does not work as expected (page may be blank, unresponsive, or erroring)""]","[""bug"", ""unconfirmed""]","The report is extremely vague ('app not working') with no specifics, so I assign P2 as a default until more details surface — it could be a full outage (P0) or a minor glitch (P3), but lacking info limits confidence.",0.25,,,,7ce98dd2-9cea-49ea-ab37-93a90f83e970,triage
b5744718-5cbc-431c-ba4b-6279b8191bae,2026-06-28T14:41:55.251228Z,2026-06-28T14:41:55.251228Z,Fix checkout button broken on mobile Safari,P1,payments,"[""Open the app on mobile Safari"", ""Navigate to checkout page"", ""Tap the checkout/Pay button"", ""Observe that the button does nothing — no response or only spinner""]","[""bug"", ""payments"", ""mobile"", ""safari"", ""checkout""]","The checkout/payment flow is a core user flow — if the button is broken on mobile Safari, users cannot complete purchases on that browser, making this P1.",0.75,,,,4d294aae-912e-4db4-99d9-ebe22d5aafcb,triage
2e930bc5-2f17-4c8c-babc-01d351c47fc6,2026-06-27T19:11:55.877224Z,2026-06-27T19:11:55.877224Z,Search results are not updated after clearing filters ## Summary When us…,P1,Search,"[""Reproduce the environment described in the report"", ""Search results are not updated after clearing filters\n\n## Summary\n\nWhen users apply filters on the search page and then "", ""Verify the issue is consistently reproducible""]","[""search"", ""p1"", ""bug""]","Based on the report, this appears to be a high-severity issue in the Search area. Confidence is moderate because this is a simulated triage (agent quota exceeded).",0.72,,,,,approved
bf1ecfbc-6477-44fb-bd99-cf91bac09c14,2026-06-27T19:06:26.124007Z,2026-06-27T19:06:26.124007Z,Checkout button becomes unresponsive after applying discount code ## Sum…,P0,Payments,"[""Reproduce the environment described in the report"", ""Checkout button becomes unresponsive after applying discount code\n\n## Summary\n\nApplying a valid discount code causes the"", ""Verify the issue is consistently reproducible""]","[""payments"", ""p0"", ""bug""]","Based on the report, this appears to be a critical issue in the Payments area. Confidence is moderate because this is a simulated triage (agent quota exceeded).",0.72,,,,,approved
d3aa26fe-bd84-43b1-a4b4-9eda9dfcd8db,2026-06-27T19:04:13.639686Z,2026-06-27T19:04:13.639686Z,Search results are not updated after clearing filters ## Summary When us…,P1,Search,"[""Reproduce the environment described in the report"", ""Search results are not updated after clearing filters\n\n## Summary\n\nWhen users apply filters on the search page and then "", ""Verify the issue is consistently reproducible""]","[""search"", ""p1"", ""bug""]","Based on the report, this appears to be a high-severity issue in the Search area. Confidence is moderate because this is a simulated triage (agent quota exceeded).",0.72,,,,,approved
3b99d1b7-e66f-48c6-b7b6-3426c61f863a,2026-06-27T18:54:51.771385Z,2026-06-27T19:12:06.071263Z,Search results are not updated after clearing filters ## Summary When us…,P1,Search,"[""Reproduce the environment described in the report"", ""Search results are not updated after clearing filters\n\n## Summary\n\nWhen users apply filters on the search page and then "", ""Verify the issue is consistently reproducible""]","[""search"", ""p1"", ""bug""]","Based on the report, this appears to be a high-severity issue in the Search area. Confidence is moderate because this is a simulated triage (agent quota exceeded).",0.72,,,,,approved
0950471f-229d-4e99-b871-d357c259083c,2026-06-27T18:13:37.173418Z,2026-06-27T18:13:37.173418Z,Search bar not working,P2,Search,"[""Reproduce the environment described in the report"", ""search bar not working"", ""Verify the issue is consistently reproducible""]","[""search"", ""p2"", ""bug""]","Based on the report, this appears to be a medium issue in the Search area. Confidence is moderate because this is a simulated triage (agent quota exceeded).",0.72,,,,,approved
